ticker,vol_30d,ret_1m,ret_3m,fwd_6m,label,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,pipeline_density,late_stage_ratio,risk_score
MDGL,0.02484381930367005,0.12130474105832323,-0.060005803188781015,0.9477595234321021,1,0,1,3,0,4,4,0.6,0.6,0.0
MDXG,0.018842922687566745,-0.06627600317531923,-0.18850638104971562,0.13093284720397436,0,0,0,0,0,2,2,0.0,0.0,0.0
MEDP,0.019691624795200983,0.059348116370463,0.03162833136567034,0.816032648540084,1,0,5,1,1,8,8,0.1111111111111111,0.2222222222222222,0.0
MESO,0.03745578466920099,0.038443644616589556,-0.05250343309853678,0.7410466929964841,1,0,0,0,0,0,0,0.0,0.0,0.0
MGTX,0.03845021826302589,0.2122646511277856,-0.03925722200889814,0.19938653290457964,0,0,0,0,0,0,0,0.0,0.0,0.0
MIRM,0.015518258465332503,0.14877996427055407,0.12133990910593029,0.5761446265764392,1,0,3,1,1,7,7,0.125,0.25,0.0
MLYS,0.025877817252113453,-0.13868115216809296,-0.029458031546610308,1.7220992282286476,1,0,0,1,0,1,1,0.5,0.5,0.0
MNKD,0.030158167863729077,-0.08626095359587183,-0.27410650807619474,0.5427807396292541,1,0,0,0,0,0,0,0.0,0.0,0.0
MNMD,0.03983003024349875,-0.09939285388713748,0.11666034527869051,1.0739600173865562,1,0,0,0,0,0,0,0.0,0.0,0.0
MRK,0.012793641356147918,0.04727863489040518,-0.09518044952866467,0.37182262433418267,1,97,357,153,13,670,670,0.22801788375558868,0.2473919523099851,0.5808383233532934
MRNA,0.03284694849470755,0.030300807805437868,-0.0689376193795056,0.12903223799396968,0,0,0,0,0,0,0,0.0,0.0,0.0
MRVI,0.048159871850368685,0.0370086955268516,0.08503378353056101,0.3817426577220462,1,0,0,0,0,0,0,0.0,0.0,0.0
MTD,0.018411504682246706,0.003668042645466385,0.02763291316764982,0.2083475263074872,0,0,0,0,0,0,0,0.0,0.0,0.0
MYGN,0.04225824539893349,0.2603508618731073,-0.3408696648139745,0.18832391916685154,0,1,1,1,0,5,5,0.16666666666666666,0.16666666666666666,0.5
NAMS,0.03215445141000363,0.038992282548207746,-0.1368560314736288,0.9337382262564067,1,0,0,0,0,0,0,0.0,0.0,0.0
NBIX,0.00961446995256513,0.016993134495153384,0.12699334847056087,0.1428116524749854,0,0,3,12,1,16,16,0.7058823529411765,0.7647058823529411,0.0
NBP,0.13269708241449593,0.8837228662896868,1.4280602006448748,0.6652892903953964,1,0,0,0,0,0,0,0.0,0.0,0.0
NGNE,0.05776610691449017,-0.19042704838111446,0.3060179911528451,0.3471571669965401,0,0,1,1,0,2,2,0.3333333333333333,0.3333333333333333,0.0
NMRA,0.0670466977253682,0.07336606374885246,-0.23265686886165204,1.4283765605256722,1,0,0,3,0,3,3,0.75,0.75,0.0
NRIX,0.0377855353818861,0.08304499733460657,0.0014155222720437788,0.699736613414689,1,4,1,0,0,5,5,0.0,0.0,4.0
NTLA,0.05931137718082592,0.24686399109934165,0.2754184362025027,-0.025586329231347626,0,0,0,0,0,0,0,0.0,0.0,0.0
NTRA,0.017388285205933073,0.06986581240580547,0.18773366531240365,0.3691251314618631,1,4,4,3,0,28,28,0.10344827586206896,0.10344827586206896,1.0
NUVB,0.06546425224408398,-0.0936069984489677,0.17486707291857828,3.6461539477286227,1,0,0,0,0,0,0,0.0,0.0,0.0
NUVL,0.022753118873641884,0.025106638431512063,0.07861941011139928,0.33368280558523655,0,0,0,0,0,0,0,0.0,0.0,0.0
NVAX,0.0446234501975761,-0.12284286933261157,0.01172217402141107,0.0825396770132254,0,0,0,0,0,0,0,0.0,0.0,0.0
NVCR,0.036143297502673116,-0.06854796589689482,-0.009032351480009693,-0.25449432435172115,0,4,6,2,0,21,21,0.09090909090909091,0.09090909090909091,1.3333333333333333
NVO,0.026791623529700725,0.0012506570999700761,0.041866841867826854,-0.24587090410410084,0,24,17,40,7,118,118,0.33613445378151263,0.3949579831932773,0.5
OABI,0.04058347422095171,0.3493107451533627,-0.27274212255055874,0.09195400330141212,0,0,0,0,0,0,0,0.0,0.0,0.0
OLMA,0.0526803457876875,-0.18242369123506785,0.12973966697180805,5.018778876070253,1,3,0,2,0,5,5,0.3333333333333333,0.3333333333333333,1.0
ONC,0.024954334291922856,-0.01071245995067549,-0.060769917683603514,0.2818605296168126,0,0,0,0,0,0,0,0.0,0.0,0.0
OPK,0.01839278323161065,-0.027385844214203425,-0.2315452967304713,-0.022727340459820944,0,0,0,0,0,0,0,0.0,0.0,0.0
ORIC,0.07175556181320132,0.2550043146305663,0.650434674417945,-0.1871920876786589,0,0,0,0,0,0,0,0.0,0.0,0.0
ORKA,0.04023143626832736,-0.03766812413022025,-0.02071478237666058,1.756467396376395,1,2,2,0,0,4,4,0.0,0.0,2.0
PACB,0.06473190730135626,0.21013016178677857,0.1936253255551168,0.3790322782221742,1,0,0,0,0,0,0,0.0,0.0,0.0
PCVX,0.04050845098270478,-0.0004943831542096877,-0.5225595264789359,0.43248237770527,1,0,1,1,0,2,2,0.3333333333333333,0.3333333333333333,0.0
PEN,0.014832375361933879,-0.03243799433803829,-0.028002215832871546,0.2270194780701067,0,0,0,0,0,9,9,0.0,0.0,0.0
PEPG,0.05230718451499314,-0.3807754530766415,-0.11874106259570172,4.5045045538485,1,1,2,0,0,3,3,0.0,0.0,1.0
PFE,0.011375614661352215,0.03416193418648883,-0.009367974492596187,0.06762333989221614,0,62,147,86,15,423,423,0.2028301886792453,0.23820754716981132,0.6078431372549019
PGEN,0.04534381879293374,0.038164144670243205,-0.02023714384891262,2.1338027772910997,1,2,2,0,1,5,5,0.0,0.16666666666666666,1.0
PHAT,0.17239352249409942,1.0811137585485562,0.8631437860517398,0.7956203377856697,1,0,1,0,0,2,2,0.0,0.0,0.0
PHVS,0.03853103298798495,0.06626644256503844,0.1640716254082193,0.46249995529651744,1,0,0,0,0,0,0,0.0,0.0,0.0
PODD,0.010589088124731924,-0.029006584972393723,0.22745045300153344,-0.0853651026464175,0,0,0,0,0,8,8,0.0,0.0,0.0
PRAX,0.028501490235771827,0.09598085397992218,0.13724353175730297,6.243281619463756,1,0,0,0,0,0,0,0.0,0.0,0.0
PRME,0.09451545580076441,0.749347440255391,0.4508221385469233,0.3643724074996253,1,0,1,0,0,2,2,0.0,0.0,0.0
PRTA,0.06770520165675395,0.2693355230166843,-0.6661226370551658,0.5617791225929445,1,0,0,0,0,0,0,0.0,0.0,0.0
PSNL,0.03226374531736536,0.37072546775346504,0.6739536775130586,0.2088414477910192,0,0,0,0,0,1,1,0.0,0.0,0.0
PTCT,0.016758557154578205,0.0008888880411087596,-0.041560078522720145,0.589680572217085,1,0,0,0,0,0,0,0.0,0.0,0.0
PTGX,0.01961768053129571,0.15439451927495507,0.14289618067510457,0.5909173073441583,1,1,0,2,0,3,3,0.5,0.5,0.3333333333333333
PVLA,0.0455124336487474,-0.07107260556250483,-0.10850016134176954,3.487355480690762,1,0,1,2,0,3,3,0.5,0.5,0.0
PYXS,0.044168907177876526,-0.10784257080184201,0.13474893061059823,-0.03636370926848953,0,3,1,0,0,4,4,0.0,0.0,3.0
QSI,0.07548366252231423,0.16727777359903617,0.5696634335037243,-0.39795922215210233,0,0,0,0,0,0,0,0.0,0.0,0.0
QTRX,0.06611707366304696,0.29376254993968254,0.16004288495779384,-0.04360901619460866,0,0,0,0,0,0,0,0.0,0.0,0.0
QURE,0.03549927502305752,-0.053686916320176414,0.3118680600570558,0.7618364566168137,1,0,0,0,0,0,0,0.0,0.0,0.0
RAPP,0.08038894323462586,0.3593831797377498,0.25362165243153056,1.6605101411144436,1,0,2,0,0,2,2,0.0,0.0,0.0
RAPT,0.1120097516416626,0.12295282674442765,0.03107391975269813,3.4800000190734863,1,0,1,0,0,1,1,0.0,0.0,0.0
RARE,0.023546224235639342,0.04247934900101491,-0.0066793424672401125,-0.4576457925652433,0,0,0,0,0,0,0,0.0,0.0,0.0
RCKT,0.12460456002725114,-0.04161593495256177,-0.6254398637315524,0.4204081434053666,1,1,3,0,0,7,7,0.0,0.0,1.0
RCUS,0.03640406645508344,-0.13829064984479578,0.05659090679817791,1.8660932358367361,1,5,15,6,0,26,26,0.2222222222222222,0.2222222222222222,0.7142857142857143
REGN,0.03909653773104857,-0.11929388420827125,-0.1475979492999907,0.49079088307450247,1,25,77,38,15,189,189,0.2,0.2789473684210526,0.46296296296296297
REPL,0.04612588695027184,0.0003433139550131914,-0.0029812113072066326,0.05059206339706601,0,0,0,0,0,0,0,0.0,0.0,0.0
RGEN,0.023143968495142213,0.021408530681207072,-0.02548463314752447,0.3324489418493277,0,0,0,0,0,0,0,0.0,0.0,0.0
RGNX,0.06805778184342727,-0.03363700590089935,0.21286971696867496,0.7417783342620332,1,0,3,5,0,9,9,0.5,0.5,0.0
RIGL,0.028019886730748296,-0.03492125960844983,0.0762763968221567,1.3000535442571084,1,0,1,0,0,1,1,0.0,0.0,0.0
RLAY,0.0398259719531202,0.13430978356611034,0.31842744656002275,1.4306357672516512,1,1,1,1,0,3,3,0.25,0.25,0.5
RMD,0.008711914995831058,0.051803275547190886,0.17396976901534567,-0.05451415898406575,0,0,0,0,0,9,9,0.0,0.0,0.0
RNA,0.034053240128645794,-0.09617132952585927,-0.03383865476538028,1.541197152758278,1,0,2,2,0,5,5,0.3333333333333333,0.3333333333333333,0.0
ROIV,0.01816656055402949,-0.00029815378593334163,0.09974358656730975,0.9254658279974397,1,0,0,0,0,0,0,0.0,0.0,0.0
RVMD,0.024148716569959226,-0.05667704611592117,0.023421721828570163,1.1886380711962055,1,4,4,3,0,11,11,0.25,0.25,1.0
RXRX,0.06157341993113329,0.17062809798381884,0.016155554349197798,-0.1837944345564081,0,0,0,0,0,0,0,0.0,0.0,0.0
RYTM,0.02360978488939485,0.02554358733386164,0.18216963344876913,0.7811363427405658,1,0,3,3,0,8,8,0.3333333333333333,0.3333333333333333,0.0
RZLT,0.02983337144803613,0.07937530340939414,0.5025050487188273,-0.4551569403647783,0,0,0,0,0,0,0,0.0,0.0,0.0
SANA,0.07191864523159817,0.22183073909940965,0.6330335563791923,0.5091574566938417,1,0,0,0,0,0,0,0.0,0.0,0.0
SEPN,0.03204077872046164,0.07874107765511285,0.7216050710086307,1.6849574248013797,1,0,0,0,0,0,0,0.0,0.0,0.0
SGMT,0.10977902077594603,0.9388282192382876,0.9997580272592601,-0.22440945719535388,0,0,0,0,0,0,0,0.0,0.0,0.0
